,artist,song,artists,songs,#_words,#_unique_words,#_filter_words,#_big_words,avg_word_len,filter_avg_word_len,big_avg_word_len
56,jay z,hard knock life ghetto anthem,jay-z,hard-knock-life-ghetto-anthem,582,250,203,207,4.704,5.078817734,5.096618357
57,jay z,izzo hova,jay-z,izzo-hova,645,231,180,185,4.705627706,5.155555556,5.167567568
58,jay z,99 problems,jay-z,99-problems,729,285,221,230,4.610526316,4.995475113,5.02173913
59,jay z,dirt off your shoulder,jay-z,dirt-off-your-shoulder,665,217,175,176,4.723502304,5.171428571,5.181818182
60,eminem,my name is,eminem,my-name-is,749,303,236,244,4.679867987,5.088983051,5.098360656
61,eminem,stan,eminem,stan,1285,398,319,329,4.804020101,5.178683386,5.197568389
62,eminem,the way I am,eminem,the-way-I-am,835,299,234,240,4.889632107,5.38034188,5.375
63,eminem,the real slim shady,eminem,the-real-slim-shady,1007,351,279,285,4.826210826,5.250896057,5.252631579
64,eminem,guilty conscience,eminem,guilty-conscience,559,283,216,224,4.586572438,4.99537037,5.008928571
65,too short,life is too short,too-short,life-is-too-short,568,255,198,202,4.549019608,4.964646465,4.97029703
66,too short,im a player,too-short,im-a-player,616,295,234,243,4.511864407,4.841880342,4.860082305
67,too short,gettin it,too-short,gettin-it,681,272,213,222,4.5,4.845070423,4.878378378
68,too short,blow job betty,too-short,blow-job-betty,24,22,12,13,3.681818182,4.583333333,4.615384615
69,too short,freaky tales,too-short,freaky-tales,1432,477,406,415,4.809224319,5.078817734,5.091566265
70,dr dre,let me ride,dr-dre,let-me-ride,764,254,205,210,4.736220472,5.136585366,5.138095238
71,dr dre,still dre,dr-dre,still-dre,610,271,224,228,4.41697417,4.705357143,4.719298246
72,dr dre,forgot about dre,dr-dre,forgot-about-dre,858,330,263,270,4.778787879,5.178707224,5.181481481
73,dr dre,the next episode,dr-dre,the-next-episode,398,204,158,160,4.544117647,5.006329114,5.01875
74,dr dre,fuck wit dre day and everybodys celebratin ,dr-dre,fuck-wit-dre-day-and-everybodys-celebratin,685,302,242,248,4.69205298,5.074380165,5.084677419
